centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,ISD_adress_dict,host,host_id,alias_dict,shared_license,avg_USD/night,mean_latitude,mean_longitude,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_building,GCODE_hamlet,GCODE_quarter,GCODE_tourism,GCODE_square,GCODE_shop,GCODE_commercial,GCODE_amenity,GCODE_man_made,GCODE_residential,GCODE_railway,GCODE_historic,GCODE_leisure,GCODE_city_block,GCODE_town,GCODE_natural,GCODE_aeroway,GCODE_military,GCODE_retail,GCODE_place,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,ISD_found
0-1s,71,1,{'Missing': 71},{'No license claimed': 71},,{},PCHNortheast,CorpGroup1,{'359229620.0': 71},False,210.44,42.357109999999956,-71.14276000000001,New Balance Athletics,100,Guest Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-218s,40,1,{'Missing': 40},{'No license claimed': 40},,{},PCHNortheast,CorpGroup1,{'359229620.0': 40},False,175.63,42.37101000000002,-71.04377000000007,,,New Street,Gove Street,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,The Eddy Apartments,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-441s,37,1,{'Missing': 37},{'No license claimed': 37},,{},PCHNortheast,CorpGroup1,{'359229620.0': 37},False,166.85,42.283449999999974,-71.03635,,2,Hancock Street,,,Quincy,Norfolk County,Massachusetts,02171,United States of America,us,,Atlantic,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-656s,23,1,{'Missing': 23},{'No license claimed': 23},,{},PCHNortheast,CorpGroup1,{'359229620.0': 23},False,192.1,42.329349999999984,-71.11149,,101,South Huntington Avenue,,Roxbury,Boston,Suffolk County,Massachusetts,02130-4803,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-794s,17,1,{'Missing': 17},{'No license claimed': 17},,{},PCHNortheast,CorpGroup1,{'359229620.0': 17},False,226.88,42.35388999999999,-71.05299000000001,,530,Atlantic Avenue,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,The Lofts at Atlantic Wharf,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-2s,13,1,{'Missing': 13},{'No license claimed': 13},,{},Huggy,CorpGroup14,{'18517776.0': 13},False,35.08,42.316759999999995,-71.08000000000001,,37,Maywood Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-905s,11,1,{'Missing': 11},{'No license claimed': 11},,{},PCHNortheast,CorpGroup1,{'359229620.0': 11},False,199.36,42.35124000000001,-71.04449999999999,,121,Seaport Boulevard,,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,,,Seaport,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-219s,7,1,{'Missing': 7},{'No license claimed': 7},,{},Huggy,CorpGroup14,{'18517776.0': 7},False,36.57,42.30536,-71.07221,,76,Olney Street,Mount Bowdoin,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-3s,6,1,{'STRLH/STRBB': 6},{'Exempt (not verified)': 6},,{},Studio Allston Hotel,261039449,{'nan': 6},False,208.67,42.36417,-71.13637,,1234,Soldiers Field Road,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,Days Inn,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-4s,6,1,{'Missing': 6},{'No license claimed': 6},,{},Blueground,CorpGroup3,{'107434423.0': 6},False,173.5,42.34114,-71.04958,,320,D Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
