id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,centroid_group,centroid_group_recognized,centroid_group_distance,sub_centroid,sub_centroid_distance
3781,https://www.airbnb.com/rooms/3781,HARBORSIDE-Walk to subway,4804,https://www.airbnb.com/users/show/4804,Frank,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.364129999999996,-71.02991,Entire apartment,Entire home/apt,2,1.0,0.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises""]",146.0,28,1125,28.0,t,0,0,0,0,16,Missing,f,,,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,
5506,https://www.airbnb.com/rooms/5506,**$49 Special **   Private! Minutes to center!,8229,https://www.airbnb.com/users/show/8229,Terry,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.329809999999995,-71.09559,Entire guest suite,Entire home/apt,2,1.0,1.0,"[""Heating"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Shampoo"", ""Private entrance"", ""Bathtub"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""First aid kit"", ""Keypad"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",145.0,3,730,3.0,t,0,0,0,0,107,STRHS,f,,,Exempt (not verified),,,Exempt: Hospital Stays,,,Exempt (not verified),Exempt (not verified): Hospital Stays,,0.0,67_1,False,81.13459135038438,,
6695,https://www.airbnb.com/rooms/6695,$99 Special!! Home Away! Condo,8229,https://www.airbnb.com/users/show/8229,Terry,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.32994,-71.09351,Entire condominium,Entire home/apt,4,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Keypad"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",169.0,3,730,3.0,t,0,0,0,0,115,404620,f,,,Expired/Void/Revoked,Expired,,Owner-Adjacent Unit,1.0,,Expired/Void/Revoked,Expired,,-1.0,,,,,
10730,https://www.airbnb.com/rooms/10730,Bright 1bed facing Golden Dome,CorpGroup40,https://www.airbnb.com/users/show/26988,Sassmorr,"Boston, Massachusetts, United States",Downtown,2020-08-31,,42.3584,-71.06185,Entire apartment,Entire home/apt,2,1.0,1.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Paid parking off premises"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Ethernet connection"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",85.0,91,365,91.0,t,29,59,89,364,32,Missing,f,Anne,26988.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,77_1,False,279.9680848657859,,
10813,https://www.airbnb.com/rooms/10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",CorpGroup34,https://www.airbnb.com/users/show/38997,Michelle,"Boston, Massachusetts, United States",Back Bay,2020-09-01,,42.34961,-71.08904,Entire apartment,Entire home/apt,3,,1.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",87.0,28,1125,28.0,t,0,0,0,0,10,Missing,f,Michelle,38997.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,
10986,https://www.airbnb.com/rooms/10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,CorpGroup34,https://www.airbnb.com/users/show/38997,Michelle,,North End,2020-09-01,,42.36352,-71.05075,Entire condominium,Entire home/apt,2,,1.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""TV"", ""Hot water"", ""Dishwasher"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Lockbox"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Fire extinguisher""]",83.0,28,1125,28.0,t,5,35,65,340,2,Missing,f,Michelle,38997.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,
18711,https://www.airbnb.com/rooms/18711,The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.32212,-71.06096,Entire apartment,Entire home/apt,7,3.0,3.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Smart lock"", ""Essentials"", ""Cable TV"", ""Pack \u2019n Play/travel crib"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",129.0,32,1125,32.0,t,0,0,20,211,52,Missing,f,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,11_1,False,134.41902186094157,11_1_0,2.2235616080925946
22195,https://www.airbnb.com/rooms/22195,Copley House - Premium Studio,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34558,-71.0793,Room in aparthotel,Private room,4,,2.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Cable TV"", ""Pack \u2019n Play/travel crib"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""TV"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Bed linens"", ""Smoke alarm"", ""Host greets you"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",152.0,1,1125,1.0,t,0,0,0,205,21,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,-1.0,,,,,
24240,https://www.airbnb.com/rooms/24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,https://www.airbnb.com/users/show/97821,Gretchen,,North End,2020-09-01,,42.363659999999996,-71.05023,Boat,Entire home/apt,5,2.0,2.0,"[""Wifi"", ""Heating"", ""Kitchen"", ""Microwave"", ""Bed linens"", ""Waterfront"", ""Essentials"", ""Stove"", ""Paid parking off premises"", ""Host greets you"", ""Smoke alarm"", ""Patio or balcony"", ""Shampoo"", ""Hot water"", ""Private entrance"", ""Breakfast"", ""Cooking basics"", ""Refrigerator"", ""Air conditioning""]",275.0,2,30,1.0,t,17,44,45,169,104,STRLH/STRBB,f,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,-1.0,,,,,
29765,https://www.airbnb.com/rooms/29765,"Luxury suite, Moroccan furnishings",128280,https://www.airbnb.com/users/show/128280,Elizabeth,"Boston, Massachusetts, United States",Charlestown,2020-08-31,,42.37754,-71.06642,Entire apartment,Entire home/apt,2,1.0,1.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Garden or backyard"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Breakfast"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""Indoor fireplace"", ""TV"", ""Hot water"", ""Shampoo"", ""Air conditioning"", ""Coffee maker"", ""Lockbox"", ""Bed linens"", ""Smoke alarm"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",226.0,2,21,2.0,t,0,0,0,114,93,383350,f,,,Active,Active,8 to 8H Salem ST 02 Charlestown MA 02129,Home Share Unit,2.0,,Active,Active,,0.0,291_1,False,1.3510371068398621,,
