centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,minimum_nights,ISD_address_dict,host,host_id,alias_dict,shared_license,avg_USD/night,radius,mean_latitude,mean_longitude,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_amenity,GCODE_square,GCODE_building,GCODE_hamlet,GCODE_historic,GCODE_quarter,GCODE_tourism,GCODE_city_block,GCODE_town,GCODE_commercial,GCODE_shop,GCODE_leisure,GCODE_man_made,GCODE_railway,GCODE_natural
1_1,73,1,{'Missing': '73'},{'No license claimed': '73'},,91.0,{},PCHNortheast,CorpGroup1,{'359229620': '73'},False,210.69,134.50737055723198,42.3571042465753,-71.14276821917808,within 400 ft.,384.34596,12.7016,58.0793,New Balance Athletics,100,Guest Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,,,,,,,,,,,,
2_1,72,2,"{'STRHS': '62', 'Missing': '10'}","{'Exempt (not verified)': '62', 'No license claimed': '10'}",,1.0,{},Churchill,CorpGroup2,"{'30283594': '37', '9419684': '31', '163251048': '4'}",False,220.14,160.50491616403943,42.35159930555557,-71.06090819444445,within 450 ft.,450.72994,208.7841,86.2965,,,Beach Street,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,Avaya Sushi,Phillips Square,,,,,,,,,,,,,
10_1,47,1,{'STRES': '47'},{'Exempt (not verified)': '47'},,1.0,{},Nora House,CorpGroup10,{'18110188': '47'},False,95.75,181.0059783106411,42.352041063829795,-71.1246489361702,within 500 ft.,508.25451,253.5554,111.0264,,,Commonwealth Avenue,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,
1_2,40,1,{'Missing': '40'},{'No license claimed': '40'},,91.0,{},PCHNortheast,CorpGroup1,{'359229620': '40'},False,175.63,52.0,42.37101000000002,-71.04377000000007,unknown (too close),0.0,0.0,0.0,,,New Street,Gove Street,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,The Eddy Apartments,,,,,,,,,,,,
6_1,38,3,"{'101723': '19', '101724': '11', '101772': '8'}",{'Not found (fabricated)': '38'},,2.0,{},Bay Village,CorpGroup6,"{'285344759': '28', '244600805': '10'}",False,131.14,206.4857076505667,42.349060789473675,-71.06995131578948,within 500 ft.,513.72347,232.2751,111.7031,,121-127,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,Arlington Street Lot,Eugene T. Zanni Square,,,,,,,,,,,,,
1_3,37,1,{'Missing': '37'},{'No license claimed': '37'},,92.0,{},PCHNortheast,CorpGroup1,{'359229620': '37'},False,166.85,52.0,42.283449999999974,-71.03635,unknown (too close),0.0,0.0,0.0,,2,Hancock Street,,,Quincy,Norfolk County,Massachusetts,02171,United States of America,us,,,,Atlantic,,,,,,,,,,,
13_1,34,1,{'390690': '34'},{'Not found (fabricated)': '34'},,2.0,{},Temple Place,CorpGroup13,{'205269848': '34'},True,138.14,215.80639802888555,42.35539029411764,-71.0616388235294,within 550 ft.,540.49571,267.2995,127.2969,,10,Winter Place,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,Phillips Square,,,,,,,,,,,,,
8_1,33,2,"{'STRES': '20', 'STRHS': '13'}",{'Exempt (not verified)': '33'},,1.0,{},Evonify,CorpGroup8,"{'212359760': '24', '274552333': '9'}",False,169.15,237.99075339606773,42.35190696969698,-71.06378363636362,within 600 ft.,623.70743,303.7247,132.9982,,,Lowell Court,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,Phillips Square,,,Boston Young Men's Christian Union,,,,,,,,,,
2_2,29,1,{'Missing': '29'},{'No license claimed': '29'},,28.0,{},Churchill,CorpGroup2,"{'30283594': '24', '9419684': '4', '163251048': '1'}",False,781.31,259.5241573230638,42.34443551724138,-71.10094068965518,within 600 ft.,592.85586,326.6895,147.3,,180,Brookline Avenue,Audubon Square,Jamaica Plain,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,Fenway Triangle Trilogy,,,,,,,,,,,,
1_4,25,1,{'Missing': '25'},{'No license claimed': '25'},,91.0,{},PCHNortheast,CorpGroup1,{'359229620': '25'},False,189.05,77.80225904419586,42.329286399999994,-71.1114364,within 350 ft.,355.39425,50.4779,80.8725,,101,South Huntington Avenue,,Roxbury,Boston,Suffolk County,Massachusetts,02130-4803,United States of America,us,,,,,,,,,,,,,,,
